Order,Family,Species,Trophic guild
Passeriformes,Mimidae,Mimus gilvus,Insectivore: ground gleaner
Passeriformes,Mimidae,Oreoscoptes montanus,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma rufum,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma longirostre,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma cinereum,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma bendirei,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma ocellatum,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma curvirostre,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma redivivum,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma crissale,Insectivore: ground gleaner
Passeriformes,Mimidae,Toxostoma lecontei,Insectivore: ground gleaner
Passeriformes,Mimidae,Melanotis caerulescens,Insectivore: ground gleaner
Passeriformes,Mimidae,Melanotis hypoleucus,Insectivore: ground gleaner
Passeriformes,Motacillidae,Motacilla flava,Insectivore: ground gleaner
Passeriformes,Motacillidae,Anthus cervinus,Insectivore: ground gleaner
Passeriformes,Motacillidae,Anthus rubescens,Insectivore: ground gleaner
Passeriformes,Motacillidae,Anthus spragueii,Insectivore: ground gleaner
Passeriformes,Bombycillidae,Bombycilla garrulus,Frugivore: upper-canopy gleaner
Passeriformes,Bombycillidae,Bombycilla cedrorum,Frugivore: upper-canopy gleaner
Passeriformes,Ptilogonatidae,Ptilogonys cinereus,Insectivore: air hawker above canopy
Passeriformes,Ptilogonatidae,Phainopepla nitens,Insectivore: air hawker under canopy
Passeriformes,Peucedramidae,Peucedramus taeniatus,Insectivore: lower canopy foliage gleaner
Passeriformes,Calcariidae,Calcarius lapponicus,Granivore: ground to undergrowth gleaner
Passeriformes,Calcariidae,Calcarius ornatus,Granivore: ground to undergrowth gleaner
Passeriformes,Calcariidae,Calcarius pictus,Granivore: ground to undergrowth gleaner
Passeriformes,Calcariidae,Rhynchophanes mccownii,Granivore: ground to undergrowth gleaner
Passeriformes,Calcariidae,Plectrophenax nivalis,Granivore: ground to undergrowth gleaner
Passeriformes,Parulidae,Vermivora bachmanii,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Vermivora cyanoptera,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Vermivora chrysoptera,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis peregrina,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis celata,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis ruficapilla,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis virginiae,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis crissalis,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis luciae,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oreothlypis superciliosa,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Parula americana,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Parula pitiayumi,Insectivore: upper canopy foliage gleaner
Passeriformes,Parulidae,Dendroica petechia,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica pensylvanica,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica magnolia,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica tigrina,Insectivore: upper canopy foliage gleaner
Passeriformes,Parulidae,Dendroica caerulescens,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica coronata,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica nigrescens,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica chrysoparia,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica virens,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica townsendi,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica occidentalis,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica fusca,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica dominica,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica graciae,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica pinus,Insectivore: upper canopy foliage gleaner
Passeriformes,Parulidae,Dendroica kirtlandii,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica discolor,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica palmarum,Insectivore: ground gleaner
Passeriformes,Parulidae,Dendroica castanea,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica striata,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Dendroica cerulea,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Mniotilta varia,Insectivore: bark gleaner
Passeriformes,Parulidae,Setophaga ruticilla,Insectivore: air hawker under canopy
Passeriformes,Parulidae,Protonotaria citrea,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Helmitheros vermivorum,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Limnothlypis swainsonii,Insectivore: ground gleaner
Passeriformes,Parulidae,Seiurus aurocapilla,Insectivore: ground gleaner
Passeriformes,Parulidae,Parkesia noveboracensis,Insectivore: ground gleaner
Passeriformes,Parulidae,Parkesia motacilla,Insectivore: ground gleaner
Passeriformes,Parulidae,Oporornis formosus,Insectivore: ground gleaner
Passeriformes,Parulidae,Oporornis agilis,Insectivore: ground gleaner
Passeriformes,Parulidae,Oporornis philadelphia,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Oporornis tolmiei,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis trichas,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis beldingi,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis flavovelata,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis speciosa,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis nelsoni,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Geothlypis poliocephala,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Wilsonia citrina,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Wilsonia pusilla,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Wilsonia canadensis,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Cardellina rubrifrons,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Ergaticus ruber,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Ergaticus versicolor,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Myioborus pictus,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Myioborus miniatus,Insectivore: upper canopy foliage gleaner
Passeriformes,Parulidae,Euthlypis lachrymosa,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Basileuterus culicivorus,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Basileuterus rufifrons,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Basileuterus belli,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Icteria virens,Insectivore: lower canopy foliage gleaner
Passeriformes,Parulidae,Coereba flaveola,Nectarivore
Passeriformes,Thraupidae,Chlorospingus ophthalmicus,Insectivore: lower canopy foliage gleaner
Passeriformes,Thraupidae,Rhodinocichla rosea,Insectivore: ground gleaner
Passeriformes,Thraupidae,Eucometis penicillata,Insectivore: lower canopy foliage gleaner
Passeriformes,Thraupidae,Lanio aurantius,Insectivore: lower canopy foliage gleaner
Passeriformes,Thraupidae,Ramphocelus sanguinolentus,Insectivore: lower canopy foliage gleaner
Passeriformes,Thraupidae,Ramphocelus passerinii,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Thraupis episcopus,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Thraupis abbas,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Tangara cabanisi,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Tangara larvata,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Chlorophanes spiza,Frugivore: upper-canopy gleaner
Passeriformes,Thraupidae,Cyanerpes lucidus,Nectarivore
Passeriformes,Thraupidae,Cyanerpes cyaneus,Nectarivore
Passeriformes,Emberizidae,Volatinia jacarina,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Sporophila torqueola,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Sporophila minuta,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Oryzoborus funereus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Tiaris olivaceus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Haplospiza rustica,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Diglossa baritula,Nectarivore
Passeriformes,Emberizidae,Sicalis luteola,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Arremon aurantiirostris,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Arremon brunneinucha,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Arremon virenticeps,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Arremonops rufivirgatus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Arremonops chloronotus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Atlapetes albinucha,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Atlapetes pileatus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Pipilo ocai,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Pipilo chlorurus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Pipilo maculatus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Pipilo erythrophthalmus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Aimophila rufescens,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Aimophila ruficeps,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Aimophila notosticta,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone leucotis,Insectivore: ground gleaner
Passeriformes,Emberizidae,Melozone biarcuata,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone kieneri,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone fusca,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone albicollis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone crissalis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melozone aberti,Insectivore: ground gleaner
Passeriformes,Emberizidae,Peucaea sumichrasti,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea carpalis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea ruficauda,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea humeralis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea mystacalis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea botterii,Insectivore: ground gleaner
Passeriformes,Emberizidae,Peucaea cassinii,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Peucaea aestivalis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Oriturus superciliosus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella arborea,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella passerina,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella pallida,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella breweri,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella pusilla,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella wortheni,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Spizella atrogularis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Pooecetes gramineus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Chondestes grammacus,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Amphispiza quinquestriata,Insectivore: ground gleaner
Passeriformes,Emberizidae,Amphispiza bilineata,Insectivore: ground gleaner
Passeriformes,Emberizidae,Amphispiza belli,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Calamospiza melanocorys,Insectivore: ground gleaner
Passeriformes,Emberizidae,Passerculus sandwichensis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Ammodramus savannarum,Insectivore: ground gleaner
Passeriformes,Emberizidae,Ammodramus bairdii,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Ammodramus henslowii,Insectivore: ground gleaner
Passeriformes,Emberizidae,Ammodramus leconteii,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Ammodramus nelsoni,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Ammodramus caudacutus,Insectivore: ground gleaner
Passeriformes,Emberizidae,Ammodramus maritimus,Insectivore: ground gleaner
Passeriformes,Emberizidae,Xenospiza baileyi,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Passerella iliaca,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melospiza melodia,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melospiza lincolnii,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Melospiza georgiana,Insectivore: ground gleaner
Passeriformes,Emberizidae,Zonotrichia capensis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Zonotrichia albicollis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Zonotrichia querula,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Zonotrichia leucophrys,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Zonotrichia atricapilla,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Junco hyemalis,Granivore: ground to undergrowth gleaner
Passeriformes,Emberizidae,Junco phaeonotus,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Piranga roseogularis,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga flava,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga rubra,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga olivacea,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga ludoviciana,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga bidentata,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga leucoptera,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Piranga erythrocephala,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Habia rubica,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Habia fuscicauda,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Caryothraustes poliogaster,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Rhodothraupis celaeno,Granivore: lower to upper canopy gleaner
Passeriformes,Cardinalidae,Cardinalis cardinalis,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Cardinalis sinuatus,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Pheucticus chrysopeplus,Granivore: lower to upper canopy gleaner
Passeriformes,Cardinalidae,Pheucticus ludovicianus,Insectivore: upper canopy foliage gleaner
Passeriformes,Cardinalidae,Pheucticus melanocephalus,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Granatellus venustus,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Granatellus sallaei,Insectivore: lower canopy foliage gleaner
Passeriformes,Cardinalidae,Amaurospiza concolor,Granivore: lower to upper canopy gleaner
Passeriformes,Cardinalidae,Cyanocompsa cyanoides,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Cyanocompsa parellina,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Passerina caerulea,Insectivore: ground gleaner
Passeriformes,Cardinalidae,Passerina amoena,Insectivore: ground gleaner
Passeriformes,Cardinalidae,Passerina cyanea,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Passerina rositae,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Passerina leclancherii,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Passerina versicolor,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Passerina ciris,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Spiza americana,Granivore: ground to undergrowth gleaner
Passeriformes,Cardinalidae,Saltator coerulescens,Frugivore: ground to lower canopy gleaner
Passeriformes,Cardinalidae,Saltator maximus,Frugivore: ground to lower canopy gleaner
Passeriformes,Cardinalidae,Saltator atriceps,Frugivore: ground to lower canopy gleaner
Passeriformes,Icteridae,Dolichonyx oryzivorus,Granivore: ground to undergrowth gleaner
Passeriformes,Icteridae,Agelaius phoeniceus,Insectivore: ground gleaner
Passeriformes,Icteridae,Agelaius tricolor,Insectivore: ground gleaner
Passeriformes,Icteridae,Sturnella magna,Insectivore: ground gleaner
Passeriformes,Icteridae,Sturnella neglecta,Insectivore: ground gleaner
Passeriformes,Icteridae,Xanthocephalus xanthocephalus,Granivore: ground to undergrowth gleaner
Passeriformes,Icteridae,Dives dives,Insectivore: ground gleaner
Passeriformes,Icteridae,Euphagus carolinus,Insectivore: ground gleaner
Passeriformes,Icteridae,Euphagus cyanocephalus,Insectivore: ground gleaner
Passeriformes,Icteridae,Quiscalus quiscula,Omnivore: ground forager
Passeriformes,Icteridae,Quiscalus major,Omnivore: ground forager
Passeriformes,Icteridae,Quiscalus mexicanus,Omnivore: ground forager
Passeriformes,Icteridae,Quiscalus palustris,Omnivore: ground forager
Passeriformes,Icteridae,Molothrus aeneus,Granivore: ground to undergrowth gleaner
Passeriformes,Icteridae,Molothrus ater,Granivore: ground to undergrowth gleaner
Passeriformes,Icteridae,Molothrus oryzivorus,Granivore: ground to undergrowth gleaner
Passeriformes,Icteridae,Icterus wagleri,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus maculialatus,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus prosthemelas,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus spurius,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus cucullatus,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus chrysater,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus mesomelas,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus pustulatus,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus bullockii,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus auratus,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus pectoralis,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus gularis,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus graduacauda,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus galbula,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Icterus abeillei,Insectivore: lower canopy foliage gleaner
Passeriformes,Icteridae,Icterus parisorum,Insectivore: upper canopy foliage gleaner
Passeriformes,Icteridae,Amblycercus holosericeus,Omnivore: arboreal forager
Passeriformes,Icteridae,Cacicus melanicterus,Omnivore: arboreal forager
Passeriformes,Icteridae,Psarocolius wagleri,Frugivore: upper-canopy gleaner
Passeriformes,Icteridae,Psarocolius montezuma,Frugivore: upper-canopy gleaner
Passeriformes,Fringillidae,Euphonia affinis,Frugivore: ground to lower canopy gleaner
Passeriformes,Fringillidae,Euphonia hirundinacea,Frugivore: ground to lower canopy gleaner
Passeriformes,Fringillidae,Euphonia elegantissima,Frugivore: ground to lower canopy gleaner
Passeriformes,Fringillidae,Euphonia gouldi,Frugivore: ground to lower canopy gleaner
Passeriformes,Fringillidae,Euphonia minuta,Frugivore: ground to lower canopy gleaner
Passeriformes,Fringillidae,Chlorophonia occipitalis,Frugivore: upper-canopy gleaner
Passeriformes,Fringillidae,Leucosticte tephrocotis,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Leucosticte atrata,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Leucosticte australis,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Pinicola enucleator,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Carpodacus purpureus,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Carpodacus cassinii,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Carpodacus mexicanus,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Loxia curvirostra,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Loxia leucoptera,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Acanthis flammea,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Acanthis hornemanni,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Spinus pinus,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Spinus atriceps,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Spinus notatus,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Spinus psaltria,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Spinus lawrencei,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Spinus tristis,Granivore: lower to upper canopy gleaner
Passeriformes,Fringillidae,Coccothraustes abeillei,Granivore: ground to undergrowth gleaner
Passeriformes,Fringillidae,Coccothraustes vespertinus,Granivore: ground to undergrowth gleaner
